方形椅,圓形椅,品名,平台,材質,尺寸(寬×深×高cm),椅背高度(cm),椅背體積(cm),椅墊面積(cm),椅墊厚度(cm),椅腳高度(cm),椅腳體積(cm),重量(kg),商品連結,chair_id,無椅背,異常椅背,大椅腳體積,大椅墊
0,0,"Solid Wood Dining Chair, Mid-Century Chair",Wayfair,橡膠木,43.94×52.83×84.07,39.1,4500.0,1110.0,4.0,45.0,5062.0,11.0,https://www.wayfair.com/furniture/pdp/corrigan-studio-solid-wood-dining-chair-mid-century-chair-w003522889.html?piid=1899324621&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,26,0,1,1,0
1,0,Brently Solid Wood Upholstered Side Chair Dining Chair,Wayfair,橡木,47.5×59.0×86.36,36.4,4500.0,3275.0,5.0,50.6,5483.0,13.61,https://www.wayfair.com/furniture/pdp/wade-logan-brently-solid-wood-upholstered-side-chair-dining-chair-w006903626.html?piid=1949574941&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,27,0,1,0,0
1,0,Alejoa 14.25'' H Faux Leather Upholstered Side Chair,Wayfair,橡膠木,45.72×45.09×88.9,44.4,4500.0,2581.0,2.54,47.6,9617.0,7.38,https://www.wayfair.com/furniture/pdp/lark-manor-alejoa-side-chair-in-tan-kblt2185.html,28,0,1,0,0
1,0,"17"" Wide Classic Modern Black Solid Wood Dining Chairs",Wayfair,橡膠木,46.99×53.34×86.36,43.2,4500.0,1003.0,2.5,50.0,5062.0,15.97,https://www.wayfair.com/furniture/pdp/gracie-oaks-17-wide-classic-modern-black-solid-wood-dining-chairs-w111744719.html,29,0,1,1,0
0,0,Nailhead Trim Fabric Upholstered Side Chair Wood Dining Chair (Set of 6),Wayfair,橡膠木,51.44×59.05×88.9,43.2,4500.0,2581.0,2.0,47.0,6735.0,5.9,https://www.wayfair.com/furniture/pdp/lark-manor-nailhead-trim-fabric-upholstered-side-chair-wood-dining-chair-set-of-6-w111193024.html?piid=590929695,30,0,1,0,0
1,0,Anosha 21'' H Upholstered Side Chair,Wayfair,橡膠木,52.07×58.93×82.04,33.0,4500.0,3677.0,0.254,49.0,5062.0,17.24,https://www.wayfair.com/furniture/pdp/lark-manor-anosha-dining-chair-w004236324.html?piid=1186902843,31,0,1,0,0
1,0,Alexa-Mae 20.5'' H Faux Leather Upholstered Parsons Chair,Wayfair,松木,53.34×52.07×95.25,50.2,4500.0,4079.0,7.5,36.2,5062.0,9.3,https://www.wayfair.com/furniture/pdp/lark-manor-alexa-mae-upholstered-parsons-chair-w005962649.html?piid=115341239,32,0,1,1,0
1,0,Lynda 17.52'' H Solid Wood Side Chair,Wayfair,橡膠木,43.69×50.04×90.68,45.7,4500.0,2581.0,1.93,45.0,5062.0,11.97,https://www.wayfair.com/furniture/pdp/lark-manor-lynda-solid-wood-slat-back-side-chair-in-medium-yellow-brown-w004752540.html,33,0,1,1,0
1,0,Libretto 20.5'' H Linen Upholstered Side Chair,Wayfair,橡膠木,46.41×39.6×97.99,49.0,4500.0,2581.0,5.0,50.7,5062.0,12.19,https://www.wayfair.com/furniture/pdp/kelly-clarkson-home-libretto-linen-solid-wood-side-chair-w003431878.html?piid=313146394%2C391525448,34,0,1,1,1
0,0,Duprey Elena Upholstered Dining Chairs with Solid Wood Frame (Set of 4),Wayfair,橡木,43.81×50.39×90.17,45.0,7240.0,2581.0,3.5,45.2,6550.0,6.21,https://www.wayfair.com/furniture/pdp/george-oliver-duprey-elena-upholstered-dining-chairs-with-solid-wood-frame-set-of-4-w112869226.html?piid=612531885,35,0,0,0,0
0,0,Babbette Solid Wood Side Chair Dining Chair,Wayfair,橡膠木,50.8×58.42×104.14,47.0,4500.0,2581.0,5.0,53.3,5062.0,19.05,https://www.wayfair.com/furniture/pdp/corrigan-studio-babbette-solid-wood-side-chair-dining-chair-w100479367.html?piid=1645830688,36,0,1,1,0
1,0,Dellar Boucle Upholstered Back Dining Chair,Wayfair,橡膠木,47.5×67.31×97.79,49.5,4282.0,3216.0,44.2,52.1,3654.0,6.74,https://www.wayfair.com/furniture/pdp/allmodern-dellar-boucle-upholstered-back-dining-chair-w100619761.html?piid=1200011530&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,37,0,0,0,0
1,0,"Upholstered Solid Wood Dining Chair With Hollow Back, Farmhouse Side Chair For Kitchen/Dining Room",Wayfair,橡膠木,48.26×57.79×102.01,60.0,4500.0,3481.0,4.0,44.4,5062.0,9.3,https://www.wayfair.com/furniture/pdp/george-oliver-upholstered-solid-wood-dining-chair-with-hollow-back-farmhouse-side-chair-for-kitchendining-room-w113242990.html?piid=1055179830&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,38,0,1,1,0
0,0,Allena Tufted Velvet/Linen Wing Back Parsons Chair,Wayfair,橡膠木,53.34×71.12×100.97,47.0,5362.0,1740.0,5.08,45.7,6737.0,8.5,https://www.wayfair.com/furniture/pdp/rosdorf-park-allena-tufted-velvetlinen-wing-back-parsons-chair-w001171761.html?piid=98945122%2C73660452&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,39,0,0,0,0
0,0,"Majidah 21.7"" Contemporary Black Windsor Style Spindle Back Dining Side Chair",Wayfair,橡膠木,53.34×58.42×86.36,38.1,4500.0,2554.0,5.0,50.8,5062.0,15.42,https://www.wayfair.com/furniture/pdp/gracie-oaks-majidah-217-contemporary-black-windsor-style-spindle-back-dining-side-chair-w111077490.html,40,0,1,1,0
1,0,"Brendi 17"" Wide Scandinavian Mid-Century Modern Minimalist Solid Wood Spindle Back Dining Chairs",Wayfair,橡膠木,50.04×55.12×80.01,80.0,4500.0,2581.0,0.64,44.0,5062.0,6.0,https://www.wayfair.com/furniture/pdp/wade-logan-brendi-17-wide-scandinavian-mid-century-modern-minimalist-solid-wood-spindle-back-dining-chairs-w100383028.html?piid=118977947,41,0,1,1,0
1,0,Majidah Solid Wood Arm Chair in Black,Wayfair,橡木,46.4×39.9×79.5,32.0,4500.0,2879.0,2.5,48.3,5062.0,6.49,https://www.wayfair.com/furniture/pdp/gracie-oaks-majidah-solid-wood-arm-chair-in-black-w111077489.html,42,0,1,1,0
0,0,"20.1""W Mid-Century Modern Dining Chairs, Fabric/Leather Upholstered Side Chairs, Armless Vanity Chair With Metal Legs For Dining Living Room Vanity Office",Wayfair,橡木,50.16×52.7×84.96,34.9,4500.0,3666.0,4.0,66.0,5062.0,7.38,https://www.wayfair.com/furniture/pdp/george-oliver-201w-mid-century-modern-dining-chairs-fabricleather-upholstered-side-chairs-armless-vanity-chair-with-metal-legs-for-dining-living-room-vanity-office-w112410078.html?piid=2103815786,43,0,1,1,0
0,0,Swivel Tufted Dining Chairs With Casters And Arms,Wayfair,胡桃木,50.04×64.77×95.0,50.8,4500.0,3415.0,20.0,51.0,5062.0,7.71,https://www.wayfair.com/furniture/pdp/lonshire-spark-swivel-tufted-dining-chairs-with-casters-and-arms-lcsh1050.html?piid=97867329%2C105846495,44,0,1,1,0
1,0,Gutierrez 18'' H Oak Solid Wood Side Chair,Wayfair,橡膠木,55.12×24.89×73.91,29.1,4500.0,2581.0,24.89,45.0,2671.0,15.0,https://www.wayfair.com/furniture/pdp/rosalind-wheeler-gutierrez-solid-wood-windsor-back-side-chair-w006631789.html?piid=717987981,45,0,1,0,0
1,0,Upholstered Solid Wood Parsons Side Dining Chair,Wayfair,橡膠木,44.2×51.56×85.09,39.6,4500.0,2581.0,0.1,45.5,2402.0,11.02,https://www.wayfair.com/furniture/pdp/red-barrel-studio-upholstered-solid-wood-parsons-side-dining-chair-w112302067.html?piid=1447198348&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,46,0,1,0,0
1,0,Upholstered Wooden Dining Chairs,Wayfair,橡膠木,55.12×24.89×73.91,29.0,7691.0,2129.0,24.89,45.0,5062.0,22.4,https://www.wayfair.com/furniture/pdp/gracie-oaks-upholstered-wooden-dining-chairs-w112147580.html?piid=1756808242&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,47,0,0,0,0
0,0,Montclair 18.46'' H Side Chair,Wayfair,橡木,56.13×58.17×88.14,43.2,4500.0,1685.0,2.5,45.0,4044.0,6.6,https://www.wayfair.com/furniture/pdp/joss-main-montclair-dining-chair-w003190781.html?piid=1551422194&auctionId=a9f1bfe1-f5d3-4bad-bb97-b16129470040&adTypeId=1,48,0,1,0,0
1,0,Keyla Weather Resistant Metal Nautical & Beach Windmill,Wayfair,橡膠木,64.01×66.04×80.01,53.3,4500.0,1066.0,19.5,19.5,5062.0,9.39,https://www.wayfair.com/outdoor/pdp/sol-72-outdoor-keyla-windmill-w000064099.html?piid=115750837,49,0,1,1,0
0,0,Kaybree Upholstered Flip Top Storage Bench,Wayfair,橡木,50.8×49.53×96.52,20.0,4500.0,2256.0,3.81,45.7,5062.0,8.39,https://www.wayfair.com/furniture/pdp/mercer41-kaybree-upholstered-flip-top-storage-bench-w111066719.html?piid=236322289,50,0,1,1,0
1,0,"Farmhouse Corner Cabinet for Living Room, Kitchen, Laundry Room",Wayfair,橡膠木,48.26×59.69×82.55,31.2,4500.0,3610.0,46.5,48.3,5062.0,6.3,https://www.wayfair.com/storage-organization/pdp/red-barrel-studio-farmhouse-corner-cabinet-for-living-room-kitchen-laundry-room-w006665920.html?piid=779379387,51,0,1,1,0
1,0,"Palen 62.25""H Arched Floor Lamp with Mixed-Material Shade",Wayfair,橡膠木,44.5×58.4×86,41.9,4500.0,2581.0,5.0,50.8,7700.0,5.9,https://www.wayfair.com/lighting/pdp/willa-arlo-interiors-palen-6225h-arched-floor-lamp-with-mixed-material-shade-w010969017.html,52,0,1,0,0
1,0,"Bartling 52""/66"" 8-Plywood-Blades Modern Ceiling Fan with Lighting Kit and Smart Remote",Wayfair,橡膠木,48.01×56.64×86.11,38.1,4500.0,3568.0,4.8,47.0,5062.0,10.89,https://www.wayfair.com/lighting/pdp/wrought-studio-bartling-5266-8-plywood-blades-modern-ceiling-fan-with-lighting-kit-and-smart-remote-w111190794.html?piid=209332830,53,0,1,1,0
0,0,未知產品,Wayfair,橡木,2.54×2.54×2.54,45.0,4500.0,2581.0,2.54,2.5,5062.0,2.72,https://www.wayfair.com/furniture/pdp/birch-lane-arnell-annie-upholstered-dining-chair-goms1691.html?piid=105301848%2C104838653,54,0,0,0,0
1,0,未知產品,Wayfair,胡桃木,34.8×79.76×149.86,79.8,4500.0,5208.0,2.54,79.8,5062.0,63.87,https://www.wayfair.com/furniture/pdp/birch-lane-alayaa-armless-dining-chair-goms1640.html,55,0,1,1,0
0,0,Basilina Vegan Leather Dining Chair with Rattan Back (Set of 4),Wayfair,橡木,59.0×63.5×92.71,45.0,3130.0,2199.0,5.08,54.0,2058.0,5.9,https://www.wayfair.com/furniture/pdp/bayou-breeze-basilina-vegan-leather-dining-chair-with-rattan-back-set-of-4-agak1053.html?piid=94398048,56,0,1,0,0
0,0,Ankit 18'' H Solid Wood Side Chair,Wayfair,橡木,59.0×76.81×99.06,47.0,4500.0,3379.0,47.625,50.8,5062.0,11.97,https://www.wayfair.com/furniture/pdp/red-barrel-studio-ankit-solid-wood-slat-back-side-chair-in-white-w004107063.html,57,0,1,1,0
1,0,Percival 18.25'' H Solid Wood Side Chair,Wayfair,橡木,59.0×72.01×84.0,32.3,4500.0,2852.0,52.07,52.1,3782.0,13.0,https://www.wayfair.com/furniture/pdp/red-barrel-studio-percival-solid-wood-slat-back-side-chair-w100381548.html?piid=1266504550&auctionId=21d670ce-ab4d-4984-a9cb-f01cb23e2dc5&adTypeId=1,58,0,1,0,0
1,0,Brently Solid Wood Upholstered Side Chair Dining Chair,Wayfair,橡木,62.23×53.98×67.95,22.9,4500.0,2309.0,1.0,48.3,5062.0,9.78,https://www.wayfair.com/furniture/pdp/wade-logan-brently-solid-wood-upholstered-side-chair-dining-chair-w006903626.html?piid=1949574941&auctionId=21d670ce-ab4d-4984-a9cb-f01cb23e2dc5&adTypeId=1,59,0,1,1,0
1,0,"Upholstered Faux Leather Seat Rattan Back Dining Chair, Solid Wood Frame Side Chair For Living Room",Wayfair,橡膠木,58.42×46.99×81.28,81.3,4500.0,2745.0,1.0,81.3,5062.0,15.42,https://www.wayfair.com/furniture/pdp/bay-isle-home-upholstered-faux-leather-seat-rattan-back-dining-chair-solid-wood-frame-side-chair-for-living-room-w112264390.html?piid=530162804%2C530162807&auctionId=b43a4c3f-1e7c-426c-ba38-ee8d20c9858e&adTypeId=1,60,0,1,1,0
1,0,Dellar Boucle Upholstered Back Dining Chair,Wayfair,橡膠木,48.01×57.91×82.04,38.1,4500.0,2581.0,34.7472,48.0,5062.0,29.39,https://www.wayfair.com/furniture/pdp/allmodern-dellar-boucle-upholstered-back-dining-chair-w100619761.html?piid=1200011530&auctionId=b43a4c3f-1e7c-426c-ba38-ee8d20c9858e&adTypeId=1,61,0,1,1,1
1,0,Karlie 18.9'' H Side Chair,Wayfair,橡膠木,45.72×68.58×119.38,119.4,4500.0,1236.0,68.58,45.7,5062.0,7.03,https://www.wayfair.com/furniture/pdp/birch-lane-karlie-side-chair-w009912344.html?piid=1192585475&auctionId=b43a4c3f-1e7c-426c-ba38-ee8d20c9858e&adTypeId=1,62,0,1,1,0
1,0,"Solid Wood Dining Chair, Mid-Century Chair",Wayfair,橡膠木,46.05×50.8×99.7,51.6,4500.0,3058.0,5.0,46.4,5062.0,20.5,https://www.wayfair.com/furniture/pdp/corrigan-studio-solid-wood-dining-chair-mid-century-chair-w003522889.html?piid=1899324621&auctionId=b43a4c3f-1e7c-426c-ba38-ee8d20c9858e&adTypeId=1,63,0,1,1,0
0,0,Modway Court Dining Side Chair Upholstered Fabric,Wayfair,橡膠木,52.07×58.93×82.04,33.0,4500.0,1092.0,4.5,49.0,5062.0,17.24,https://www.wayfair.com/furniture/pdp/modway-court-dining-side-chair-upholstered-fabric-w001021784.html?piid=263252136,64,0,1,0,0
1,0,Nolea 17.67'' H Pine Solid Wood Side Chair,Wayfair,橡膠木,46.99×49.53×80.01,35.6,4500.0,3486.0,4.57,47.0,5062.0,4.54,https://www.wayfair.com/furniture/pdp/rosalind-wheeler-nolea-solid-wood-ladder-back-side-chair-w003326791.html?piid=2141397329,65,0,1,1,0
0,0,Torino X Back Dining Chair,Wayfair,橡膠木,50.04×58.42×92.96,73.7,4500.0,3305.0,5.0,48.0,5062.0,7.98,https://www.wayfair.com/furniture/pdp/winston-porter-torino-x-back-dining-chair-w009699922.html?piid=1972762696,66,0,1,1,0
1,0,Modway Marquis Fabric Dining Side Chair,Wayfair,橡膠木,50.8×45.47×74.93,33.8,2717.0,2581.0,1.27,40.6,2033.0,11.02,https://www.wayfair.com/furniture/pdp/modway-marquis-fabric-dining-side-chair-w006116107.html?piid=1508302270,67,0,0,0,0
1,0,Ercan   17.72'' H Solid Wood Side Chair,Wayfair,橡膠木,52.07×55.88×95.25,47.0,1638.0,1030.0,5.0,45.7,6615.0,16.33,https://www.wayfair.com/furniture/pdp/red-barrel-studio-ercan-solid-wood-ladder-back-side-chair-w011270059.html?piid=804547712,68,0,0,0,0
1,0,Littles 18.5'' H Upholstered Beech Arm Chair,Wayfair,橡木,40.79×47.4×99.49,81.5,4500.0,2581.0,3.0,44.9,8723.0,11.97,https://www.wayfair.com/furniture/pdp/winston-porter-littles-solid-wood-dining-chair-w001775753.html?piid=1494021177,69,0,1,0,0
1,0,Amadou Modern Solid Wood Dining Chair with Rattan Backrest,Wayfair,橡木,45.72×58.42×105.0,105.0,4500.0,2581.0,2.5,45.6,5062.0,11.57,https://www.wayfair.com/furniture/pdp/beachcrest-home-amadou-modern-solid-wood-dining-chair-with-rattan-backrest-w110290999.html?piid=1784434977,70,0,1,1,0
1,0,Upholstered Solid Wood Fabric Parsons Dining Chair Side Chair,Wayfair,橡膠木,46.99×50.8×88.27,34.3,4500.0,2581.0,3.5,48.3,5062.0,6.2,https://www.wayfair.com/furniture/pdp/ebern-designs-upholstered-solid-wood-fabric-parsons-dining-chair-side-chair-w113279069.html?piid=1673741518,71,0,1,1,0
1,0,Aizlee Modern and Contemporary Upholstered Wood Dining Chair,Wayfair,橡膠木,55.88×63.5×91.44,51.9,4500.0,3194.0,5.08,52.1,5062.0,18.14,https://www.wayfair.com/furniture/pdp/red-barrel-studio-aizlee-modern-and-contemporary-upholstered-wood-dining-chair-w003600184.html,72,0,1,1,0
1,0,Chastain 18'' H Solid Wood Side Chair,Wayfair,橡膠木,44.2×45.57×89.51,35.2,4500.0,2793.0,4.57,45.0,5062.0,7.13,https://www.wayfair.com/furniture/pdp/joss-main-chastain-solid-wood-cross-back-side-chair-w004059420.html?piid=1761743511,73,0,1,1,0
1,0,Swick Slat Back Side Chair (Set of 6),Wayfair,橡木,54.61×53.34×86.36,83.8,4629.0,2581.0,46.99,47.0,4666.0,7.71,https://www.wayfair.com/furniture/pdp/swick-slat-back-side-chair-set-of-6-duhm4048.html?piid=99306219,74,0,0,0,0
1,0,Hebden 18'' H Pine Solid Wood Side Chair,Wayfair,橡膠木,46.99×50.8×86.36,45.0,4500.0,3489.0,48.26,48.9,9516.0,11.79,https://www.wayfair.com/furniture/pdp/hebden-solid-wood-ladder-back-side-chair-w004691258.html?piid=2140129023,75,0,1,0,0
1,0,Morawa Upholstered Farmhouse Dining Chairs Solid Wood Back Side Chairs,Wayfair,橡木,45.47×57.91×88.9,45.7,4500.0,3186.0,3.81,45.7,9075.0,12.16,https://www.wayfair.com/furniture/pdp/latitude-run-morawa-upholstered-farmhouse-dining-chairs-solid-wood-back-side-chairs-w100202590.html?piid=1636589657,76,0,1,0,0
1,0,Chesley Solid Wood Side Chair,Wayfair,橡木,45.97×51.56×95.0,47.5,4500.0,2971.0,2.5,45.5,3711.0,6.26,https://www.wayfair.com/furniture/pdp/chesley-solid-wood-side-chair-w011340804.html?piid=910133931&auctionId=b43a4c3f-1e7c-426c-ba38-ee8d20c9858e&adTypeId=1,77,0,1,0,0
1,0,Upholstered Solid Wood Parsons Side Dining Chair,Wayfair,橡木,50.8×50.8×88.9,89.0,4500.0,2323.0,5.08,45.7,3303.0,5.44,https://www.wayfair.com/furniture/pdp/red-barrel-studio-upholstered-solid-wood-parsons-side-dining-chair-w112302067.html?piid=1447198348&auctionId=b43a4c3f-1e7c-426c-ba38-ee8d20c9858e&adTypeId=1,78,0,1,0,0
1,0,Jordane 18'' H Solid Wood Side Chair,Wayfair,橡木,45.72×45.09×88.9,47.6,4500.0,1717.0,6.35,47.6,5062.0,7.38,https://www.wayfair.com/furniture/pdp/loon-peak-jordane-ladder-back-side-chair-in-brown-w004998758.html,79,0,1,1,0
